Rank,Type,MAT,TS,CT,TM,Shape,Size (log10),Size (nm),Size local interval,Zeta Potential,Zeta Potential local interval,Admin,Admin local interval,Predicted high-delivery probability,Model rank
1,ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Rod,2.386,243.2204,231.0 – 255.0 nm,3.0,-2.1 – 8.1,5.0,3.9 – 7.1,0.9859,1
2,ONM,Polymeric,Passive,Cervix,Xenograft Heterotopic,Spherical,2.174,149.2794,148.0 – 161.0 nm,-19.6,-24.2 – -14.5,1.0,0.0 – 1.2,0.9849,2
3,ONM,Other OM,Passive,Breast,Allograft Heterotopic,Rod,2.511,324.3396,311.0 – 337.0 nm,-4.34,-8.2 – -1.1,8.29,5.3 – 14.2,0.9831,3
4,ONM,Gold,Active,Breast,Allograft Orthotopic,Spherical,1.0,10.0,7.0 – 22.0 nm,10.2,5.1 – 15.3,0.2,0.0 – 3.8,0.9824,4
5,ONM,Gold,Active,Breast,Allograft Orthotopic,Spherical,0.826,6.6988,6.0 – 19.0 nm,16.3,11.2 – 21.4,1.0,0.0 – 3.7,0.9817,5
6,INM,Liposome,Active,Lung,Xenograft Heterotopic,Spherical,2.134,136.1445,131.0 – 145.0 nm,-23.7,-28.8 – -18.6,0.364,0.0 – 0.9,0.9807,6
7,ONM,Gold,Active,Breast,Xenograft Heterotopic,Spherical,0.903,7.9983,6.0 – 16.0 nm,-6.0,-11.1 – -0.9,0.303,0.0 – 1.1,0.9807,7
8,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,2.212,162.9296,151.0 – 175.0 nm,-30.0,-35.1 – -24.9,84.615,60.4 – 108.8,0.9792,8
9,ONM,Gold,Active,Breast,Xenograft Heterotopic,Spherical,1.093,12.388,6.0 – 19.0 nm,-9.0,-14.1 – -3.9,0.303,0.0 – 1.1,0.979,9
10,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.344,220.8005,209.0 – 233.0 nm,-15.5,-20.6 – -10.4,140.0,115.8 – 164.2,0.9788,10
