feature,importance
num__Admin,20.898094593590443
num__Size,17.945746442239304
num__Zeta Potential,15.802124153578795
cat__MAT_Polymeric,5.945324214906724
cat__TS_Passive,5.912932557428312
cat__Shape_Spherical,4.998224775154268
cat__TM_Xenograft Heterotopic,4.982823393158694
cat__CT_Breast,3.3799237370558064
cat__Type_INM,2.0590983128698683
cat__CT_Liver,2.014693421253569
cat__Type_ONM,1.8659330699734658
cat__CT_Colon,1.5157859260776987
cat__TM_Allograft Orthotopic,1.433443628570899
cat__TM_Xenograft Orthotopic,1.3852634286575805
cat__MAT_Other OM,1.108707556308087
cat__MAT_Gold,1.007806882143154
cat__MAT_Liposome,0.8599777228277711
cat__MAT_Other IM,0.859070689824043
cat__CT_Cervix,0.8549485668556437
cat__CT_Skin,0.7630739193507149
cat__MAT_Silica,0.5502690426252959
cat__Shape_Rod,0.5328321220728883
cat__MAT_Hydrogel,0.5195380134221316
cat__CT_Sarcoma,0.48900594428144306
cat__MAT_Hybrid,0.48317022694035094
cat__CT_Other,0.46932538678944674
cat__CT_Prostate,0.26954784668457105
cat__MAT_Iron Oxide,0.20494516478640087
cat__CT_Ovary,0.20462609387554856
cat__Shape_Plate,0.20302301789461957
cat__CT_Lung,0.19707337062440716
cat__CT_Glioma,0.187708067646739
cat__CT_Pancreas,0.09593871053133819
